actor_account,login_count,playtime,level,playtime_per_day,abyss_level,sit,teleport,reborn,social_deal,sit_per_day,portal_use_per_day,teleport_per_day,party_time,sit_per_playtime,pk_per_playtime,npk_per_playtime,partytime_per_playtime,teleport_per_playtime,social_deal_per_playtime,playtime_per_login,reborn_per_login,sit_per_leveling,playtime_per_quest,class
1000127,10.0,62134.0,50.0,15533.5,0.0,78.0,70.0,16.0,25.0,19.5,0.0,17.5,0.0,0.0012553513374320019,0.00043454469372646216,8.047123957897448e-05,0.0,0.0011265973541056426,0.0004023561978948724,6213.4,1.6,1.56,4779.538461538462,0
1000344,17.0,91998.0,50.0,30666.0,0.0,43.0,111.0,36.0,12.0,14.333333333333334,0.0,37.0,12806.0,0.00046740146524924456,0.00026087523641818303,0.00020652622883106156,0.13919867823213547,0.0012065479684340965,0.00013043761820909151,5411.64705882353,2.1176470588235294,0.86,5411.64705882353,0
1000779,11.0,302896.0,35.0,75724.0,0.0,84.0,61.0,37.0,6.0,21.0,0.0,15.25,0.0,0.0002773229095134964,6.93307273783741e-05,5.9426337752892084e-05,0.0,0.00020138925571813428,1.9808779250964026e-05,27536.0,3.3636363636363638,2.4,0.0,1
1000949,8.0,347198.0,30.0,86799.5,0.0,15.0,20.0,4.0,0.0,3.75,0.0,5.0,0.0,4.3203013842245634e-05,1.7281205536898254e-05,0.0,0.0,5.7604018456327517e-05,0.0,43399.75,0.5,0.5,0.0,1
1001067,20.0,555136.0,43.0,69392.0,0.0,4657.0,186.0,154.0,86.0,582.125,0.0,23.25,0.0,0.008388935323956652,0.0002539918146183998,9.186937975559142e-05,0.0,0.00033505303204980403,0.00015491699331335025,27756.8,7.7,108.30232558139535,1204.1995661605206,0
1001348,6.0,20464.0,13.0,6821.333333333333,0.0,57.0,8.0,3.0,0.0,19.0,0.0,2.6666666666666665,0.0,0.0027853792025019546,0.0,0.00019546520719311962,0.0,0.00039093041438623924,0.0,3410.6666666666665,0.5,4.384615384615385,818.56,0
1001359,34.0,855504.0,50.0,85550.4,0.0,396.0,776.0,617.0,59.0,39.6,0.0,77.6,257089.0,0.00046288503618919374,0.0007153677832014813,6.896519478576372e-05,0.3005117451233425,0.0009070676466737736,6.896519478576372e-05,25161.882352941175,18.147058823529413,7.92,855504.0,0
1001478,27.0,45670.0,50.0,11417.5,425.0,26.0,50.0,6.0,33.0,6.5,0.0,12.5,385.0,0.0005693015108386249,0.0,0.0002189621195533173,0.008430041602802715,0.0010948105977665863,0.000722574994525947,1691.4814814814815,0.2222222222222222,0.52,7611.666666666667,0
1001820,8.0,16632.0,13.0,8316.0,0.0,4.0,12.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0002405002405002405,0.0,6.012506012506013e-05,0.0,0.0007215007215007215,0.0,2079.0,0.25,0.3076923076923077,426.46153846153845,0
1002245,5.0,11665.0,10.0,5832.5,0.0,54.0,4.0,0.0,6.0,27.0,0.0,2.0,0.0,0.004629232747535362,0.0,0.0,0.0,0.0003429061294470639,0.0005143591941705958,2333.0,0.0,5.4,2333.0,0
1002426,11.0,132771.0,22.0,26554.2,0.0,204.0,74.0,8.0,29.0,40.8,0.0,14.8,7429.0,0.0015364801048421718,0.0,6.778588697833112e-05,0.05595348381800243,0.0005573506262662781,0.00021842119137462248,12070.09090909091,0.7272727272727273,9.272727272727273,754.3806818181819,0
1002565,99.0,357773.0,45.0,35777.3,0.0,571.0,548.0,147.0,179.0,57.1,1.2,54.8,60066.0,0.0015959840457496792,0.00025435122270266343,0.000335408205761754,0.16788857739404595,0.0015316974729786765,0.000500317240261283,3613.868686868687,1.4848484848484849,12.688888888888888,2293.4166666666665,0
1002652,5.0,11364.0,50.0,3788.0,0.0,5.0,25.0,3.0,18.0,1.6666666666666667,0.0,8.333333333333334,0.0,0.0004399859204505456,8.799718409010911e-05,0.00017599436818021823,0.0,0.002199929602252728,0.0015839493136219642,2272.8,0.6,0.1,0.0,0
1003143,8.0,10633.0,40.0,5316.5,0.0,5.0,20.0,1.0,11.0,2.5,0.0,10.0,0.0,0.00047023417661995676,0.0,0.00028214050597197407,0.0,0.001880936706479827,0.001034515188563905,1329.125,0.125,0.125,5316.5,0
1003285,15.0,56102.0,47.0,14025.5,0.0,28.0,38.0,4.0,8.0,7.0,0.0,9.5,14946.0,0.0004990909414994117,7.12987059284874e-05,3.56493529642437e-05,0.26640761470179314,0.0006773377063206303,0.0001425974118569748,3740.133333333333,0.26666666666666666,0.5957446808510638,2805.1,0
1003360,32.0,118629.0,32.0,13181.0,0.0,279.0,82.0,46.0,11.0,31.0,0.0,9.11111111111111,25616.0,0.00235187011607617,6.743713594483643e-05,0.00034561532171728667,0.21593370929536623,0.0006912306434345733,9.272606192415009e-05,3707.15625,1.4375,8.71875,7414.3125,0
1003405,77.0,274007.0,50.0,30445.222222222223,0.0,193.0,217.0,83.0,58.0,21.444444444444443,0.3333333333333333,24.11111111111111,41761.0,0.0007043615674052123,0.00020802388260153938,0.00019707525720145835,0.15240851511092782,0.0007919505706058604,0.00021167342440156638,3558.5324675324673,1.077922077922078,3.86,4807.140350877193,0
1003455,19.0,14333.0,48.0,7166.5,0.0,42.0,8.0,3.0,4.0,21.0,0.0,4.0,0.0,0.0029303007046675503,0.0,0.00020930719319053932,0.0,0.0005581525151747715,0.00027907625758738573,754.3684210526316,0.15789473684210525,0.875,0.0,0
1003563,9.0,40960.0,50.0,13653.333333333334,0.0,27.0,42.0,20.0,12.0,9.0,0.0,14.0,0.0,0.0006591796875,0.0001220703125,0.0004638671875,0.0,0.001025390625,0.00029296875,4551.111111111111,2.2222222222222223,0.54,20480.0,0
1003911,19.0,93164.0,50.0,18632.8,0.0,16.0,77.0,4.0,56.0,3.2,0.0,15.4,0.0,0.00017174015714224378,0.0,5.3668799106951185e-05,0.0,0.0008264995062470483,0.0006010905499978532,4903.368421052632,0.21052631578947367,0.32,1276.2191780821918,0
1003940,20.0,154532.0,44.0,30906.4,0.0,123.0,269.0,80.0,37.0,24.6,1.8,53.8,23186.0,0.000795951647555199,0.00021354800300261433,0.00042709600600522867,0.15004012113995807,0.0017407397820516138,0.00023943260942717366,7726.6,4.0,2.7954545454545454,2176.507042253521,0
1004036,20.0,169117.0,35.0,18790.777777777777,0.0,193.0,131.0,48.0,22.0,21.444444444444443,0.0,14.555555555555555,28096.0,0.0011412217577180296,4.730452881732765e-05,0.0003193055695169616,0.1661335052064547,0.0007746116593837402,0.00013008745424765103,8455.85,2.4,5.514285714285714,14093.083333333334,0
1004048,5.0,320440.0,45.0,106813.33333333333,0.0,274.0,161.0,142.0,4.0,91.33333333333333,0.0,53.666666666666664,90443.0,0.0008550742728747971,0.00018412183248033953,0.00013419048807889153,0.28224628635626015,0.0005024341530395706,1.2482836100362002e-05,64088.0,28.4,6.088888888888889,0.0,1
1004097,11.0,31296.0,26.0,10432.0,0.0,36.0,9.0,1.0,2.0,12.0,0.0,3.0,0.0,0.0011503067484662577,0.0,3.195296523517383e-05,0.0,0.00028757668711656444,6.390593047034765e-05,2845.090909090909,0.09090909090909091,1.3846153846153846,727.8139534883721,0
1004229,2.0,19520.0,50.0,19520.0,0.0,108.0,12.0,3.0,0.0,108.0,0.0,12.0,241.0,0.005532786885245901,0.00020491803278688525,0.0,0.012346311475409835,0.0006147540983606558,0.0,9760.0,1.5,2.16,0.0,0
1004236,5.0,15720.0,45.0,3930.0,0.0,24.0,14.0,0.0,20.0,6.0,0.0,3.5,0.0,0.0015267175572519084,0.0,0.0,0.0,0.0008905852417302799,0.001272264631043257,3144.0,0.0,0.5333333333333333,3930.0,0
1004653,1.0,18512.0,12.0,18512.0,0.0,30.0,10.0,0.0,4.0,30.0,0.0,10.0,7643.0,0.00162057044079516,0.0,0.0,0.41286732929991354,0.00054019014693172,0.000216076058772688,18512.0,0.0,2.5,974.3157894736842,0
1005190,9.0,83821.0,50.0,16764.2,0.0,18.0,91.0,27.0,8.0,3.6,0.0,18.2,7881.0,0.00021474332207919257,0.0002743942448789683,0.00041755645959843,0.09402178451700648,0.001085646794955918,9.544147647964114e-05,9313.444444444445,3.0,0.36,3644.391304347826,0
1005341,11.0,116840.0,40.0,14605.0,0.0,230.0,101.0,15.0,29.0,28.75,0.125,12.625,67678.0,0.001968503937007874,6.846970215679562e-05,9.414584046559397e-05,0.5792365628209517,0.0008644299897295446,0.0002482026703183841,10621.818181818182,1.3636363636363635,5.75,3338.285714285714,0
1005594,22.0,24366.0,50.0,12183.0,0.0,16.0,20.0,12.0,0.0,8.0,0.0,10.0,150.0,0.0006566527127965197,0.0006156119182467373,0.0,0.006156119182467373,0.0008208158909956497,0.0,1107.5454545454545,0.5454545454545454,0.32,1740.4285714285713,0
1005616,11.0,692389.0,40.0,69238.9,0.0,3822.0,213.0,138.0,35.0,382.2,0.0,21.3,0.0,0.005520018371175741,0.00018775572691073948,5.921526771800245e-05,0.0,0.0003076305371691347,5.054961878366063e-05,62944.454545454544,12.545454545454545,95.55,0.0,0
1005716,1.0,11009.0,9.0,11009.0,0.0,13.0,6.0,3.0,2.0,13.0,0.0,6.0,0.0,0.0011808520301571442,0.0,0.00027250431465164867,0.0,0.0005450086293032973,0.0001816695431010991,11009.0,3.0,1.4444444444444444,3669.6666666666665,0
1005719,6.0,18105.0,11.0,9052.5,0.0,44.0,16.0,10.0,5.0,22.0,0.0,8.0,0.0,0.0024302678818006076,0.0,0.0005523336095001381,0.0,0.0008837337752002209,0.00027616680475006904,3017.5,1.6666666666666667,4.0,1207.0,0
1005895,14.0,60134.0,50.0,10022.333333333334,0.0,12.0,59.0,13.0,11.0,2.0,0.0,9.833333333333334,9495.0,0.00019955432866597931,1.662952738883161e-05,0.00033259054777663217,0.15789736255695613,0.0009811421159410649,0.0001829248012771477,4295.285714285715,0.9285714285714286,0.24,8590.57142857143,0
1006318,4.0,330034.0,30.0,82508.5,0.0,324.0,596.0,538.0,6.0,81.0,0.0,149.0,0.0,0.0009817170352145537,0.0,6.96897895368356e-05,0.0,0.0018058745462588702,1.817994509656581e-05,82508.5,134.5,10.8,0.0,1
1006415,13.0,344612.0,48.0,86153.0,0.0,936.0,32.0,24.0,4.0,234.0,0.0,8.0,0.0,0.0027160981045349555,3.1919956356714216e-05,4.93308416421947e-05,0.0,9.28580548558959e-05,1.1607256856986988e-05,26508.615384615383,1.8461538461538463,19.5,0.0,1
1006863,1314.0,110028.0,10.0,11002.8,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021085541862071473,83.7351598173516,0.0,0.0,0.0,0
1006902,43.0,120274.0,50.0,17182.0,0.0,105.0,137.0,26.0,20.0,15.0,0.0,19.571428571428573,1161.0,0.0008730066348504249,0.00010808653574338594,0.00010808653574338594,0.009652959076774699,0.001139065799757221,0.0001662869780667476,2797.0697674418607,0.6046511627906976,2.1,2312.9615384615386,0
1007204,8.0,45951.0,50.0,22975.5,0.0,44.0,31.0,12.0,2.0,22.0,0.0,15.5,13468.0,0.0009575417292333137,2.1762312028029858e-05,0.00023938543230832843,0.29309481839350615,0.0006746316728689256,4.3524624056059716e-05,5743.875,1.5,0.88,9190.2,0
1007388,51.0,136952.0,50.0,17119.0,0.0,84.0,151.0,37.0,95.0,10.5,0.0,18.875,25259.0,0.0006133535837373679,0.0002847713067352065,0.0003139786202465097,0.18443688299550207,0.0011025760850516969,0.0006936736958934517,2685.3333333333335,0.7254901960784313,1.68,1802.0,0
1007438,10.0,30242.0,20.0,10080.666666666666,0.0,67.0,38.0,12.0,0.0,22.333333333333332,0.0,12.666666666666666,9481.0,0.0022154619403478605,0.0,0.00042986574961973416,0.31350439785728457,0.0012565306527346075,0.0,3024.2,1.2,3.35,672.0444444444445,0
1007449,29.0,404020.0,45.0,40402.0,0.0,384.0,579.0,82.0,104.0,38.4,0.1,57.9,28960.0,0.00095044799762388,3.9601999900995e-05,0.00019305974951735062,0.07167961982080095,0.0014330973714172565,0.00025741299935646753,13931.724137931034,2.8275862068965516,8.533333333333333,7921.9607843137255,0
1007525,9.0,55389.0,50.0,18463.0,0.0,177.0,49.0,13.0,46.0,59.0,0.0,16.333333333333332,8884.0,0.003195580349888967,1.8054126270559137e-05,0.00021664951524670963,0.16039285778764736,0.0008846521872573977,0.0008304898084457203,6154.333333333333,1.4444444444444444,3.54,701.126582278481,0
1007560,23.0,121526.0,50.0,15190.75,0.0,103.0,227.0,14.0,104.0,12.875,0.0,28.375,0.0,0.0008475552556654544,4.1143459012886134e-05,0.00012343037703865838,0.0,0.0018679130391850303,0.0008557839474680315,5283.739130434783,0.6086956521739131,2.06,3574.294117647059,0
1007714,4.0,33107.0,22.0,16553.5,0.0,32.0,35.0,8.0,20.0,16.0,0.0,17.5,3681.0,0.0009665629625154801,0.0,0.00024164074062887002,0.11118494578185882,0.0010571782402513065,0.0006041018515721751,8276.75,2.0,1.4545454545454546,675.6530612244898,0
1008135,14.0,112032.0,47.0,18672.0,0.0,56.0,218.0,64.0,11.0,9.333333333333334,1.1666666666666667,36.333333333333336,32286.0,0.000499857183661811,0.00043737503570408454,0.00041059697229363037,0.28818551842330764,0.0019458726078263352,9.818623250499857e-05,8002.285714285715,4.571428571428571,1.1914893617021276,1027.8165137614678,0
1008579,8.0,31171.0,15.0,6234.2,0.0,13.0,8.0,0.0,26.0,2.6,0.0,1.6,0.0,0.0004170543133040326,0.0,0.0,0.0,0.000256648808187097,0.0008341086266080652,3896.375,0.0,0.8666666666666667,207.80666666666667,0
1008609,65.0,217954.0,50.0,27244.25,0.0,345.0,223.0,58.0,20.0,43.125,0.0,27.875,17846.0,0.0015829028143553227,1.3764372298741936e-05,0.00038540242436477424,0.0818796626811162,0.001023151674206484,9.176248199161292e-05,3353.1384615384613,0.8923076923076924,6.9,8382.846153846154,0
1008984,11.0,57766.0,50.0,11553.2,0.0,59.0,46.0,12.0,7.0,11.8,0.0,9.2,7504.0,0.001021362046878787,8.65561056676938e-05,0.00022504587473600387,0.12990340338607487,0.0007963161721427829,0.00012117854793477132,5251.454545454545,1.0909090909090908,1.18,5776.6,0
1009004,18.0,57631.0,36.0,8233.0,0.0,130.0,50.0,11.0,19.0,18.571428571428573,0.2857142857142857,7.142857142857143,0.0,0.0022557304228626954,8.675886241779598e-05,0.00015616595235203276,0.0,0.0008675886241779597,0.0003296836771876247,3201.722222222222,0.6111111111111112,3.611111111111111,1440.775,0
1009063,16.0,87001.0,24.0,12428.714285714286,0.0,37.0,97.0,22.0,1.0,5.285714285714286,0.0,13.857142857142858,2188.0,0.000425282468017609,0.0,0.0002413765359018862,0.025149136216825095,0.0011149297134515695,1.1494120757232676e-05,5437.5625,1.375,1.5416666666666667,587.8445945945946,0
1009288,14.0,356233.0,44.0,89058.25,0.0,1167.0,83.0,49.0,3.0,291.75,0.0,20.75,0.0,0.003275945799518854,0.0001207075144638481,2.8071514991592583e-05,0.0,0.00023299357443021842,8.421454497477774e-06,25445.214285714286,3.5,26.522727272727273,895.0577889447236,1
1009310,12.0,713061.0,33.0,71306.1,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1036068442952288e-05,59421.75,0.0,0.0,0.0,0
1009375,24.0,15376.0,50.0,3844.0,0.0,3.0,19.0,4.0,68.0,0.75,0.0,4.75,0.0,0.0001951092611862643,0.00013007284079084288,0.0001951092611862643,0.0,0.0012356919875130073,0.004422476586888657,640.6666666666666,0.16666666666666666,0.06,0.0,0
1009645,101.0,361867.0,46.0,36186.7,0.0,47.0,243.0,42.0,466.0,4.7,0.0,24.3,14079.0,0.00012988197321115217,9.119372587166003e-05,6.079581724777335e-05,0.03890655959233641,0.000671517435964042,0.0012877659471573811,3582.841584158416,0.4158415841584158,1.0217391304347827,1573.3347826086956,0
1009748,3.0,23413.0,50.0,23413.0,0.0,12.0,17.0,4.0,4.0,12.0,0.0,17.0,0.0,0.0005125357707256652,0.0,0.00017084525690855507,0.0,0.0007260923418613591,0.00017084525690855507,7804.333333333333,1.3333333333333333,0.24,7804.333333333333,0
1010319,31.0,265630.0,42.0,26563.0,0.0,397.0,299.0,101.0,110.0,39.7,0.0,29.9,24802.0,0.0014945601023980725,9.788051048450852e-05,0.00036140496178895453,0.09337047773218386,0.001125625870571848,0.0004141098520498438,8568.709677419354,3.2580645161290325,9.452380952380953,6324.523809523809,0
1010346,32.0,96330.0,42.0,10703.333333333334,0.0,94.0,87.0,19.0,22.0,10.444444444444445,0.0,9.666666666666666,0.0,0.0009758123118447005,0.00012457178449081283,0.00011419080244991177,0.0,0.000903145437558393,0.00022838160489982353,3010.3125,0.59375,2.238095238095238,783.170731707317,0
1010410,53.0,60827.0,50.0,7603.375,0.0,51.0,45.0,11.0,36.0,6.375,0.0,5.625,0.0,0.000838443454387032,0.000279481151462344,0.00021372088053002778,0.0,0.0007398030479885577,0.0005918424383908462,1147.6792452830189,0.20754716981132076,1.02,1843.2424242424242,0
1010810,107.0,363333.0,50.0,36333.3,0.0,208.0,524.0,94.0,65.0,20.8,0.0,52.4,49963.0,0.0005724775894289812,0.0001100918441209579,0.00022293598434493977,0.1375129701953855,0.0014422031579845486,0.0001788992466965566,3395.6355140186915,0.8785046728971962,4.16,2162.6964285714284,0
1010839,15.0,595988.0,50.0,59598.8,0.0,90.0,17.0,5.0,25.0,9.0,0.0,1.7,0.0,0.0001510097518741988,0.0,8.389430659677711e-06,0.0,2.852406424290422e-05,4.194715329838856e-05,39732.53333333333,0.3333333333333333,1.8,450.1419939577039,0
1010946,46.0,166012.0,50.0,16601.2,0.0,249.0,96.0,23.0,31.0,24.9,0.0,9.6,7027.0,0.0014998915741030769,1.2047321880345999e-05,0.00015661518444449798,0.042328265426595665,0.0005782714502566079,0.00018673348914536298,3608.9565217391305,0.5,4.98,7905.333333333333,0
1011488,49.0,46422.0,50.0,7737.0,191.0,52.0,47.0,12.0,54.0,8.666666666666666,0.0,7.833333333333333,0.0,0.0011201585455172117,4.308302098143122e-05,0.00036620567834216535,0.0,0.0010124509930636335,0.0011632415664986429,947.3877551020408,0.24489795918367346,1.04,3315.8571428571427,0
1011506,8.0,12149.0,42.0,6074.5,0.0,2.0,12.0,1.0,3.0,1.0,0.0,6.0,0.0,0.00016462260268334841,0.0,8.231130134167421e-05,0.0,0.0009877356161000904,0.0002469339040250226,1518.625,0.125,0.047619047619047616,4049.6666666666665,0
1011646,5.0,15220.0,23.0,3805.0,0.0,14.0,15.0,2.0,1.0,3.5,0.0,3.75,5751.0,0.0009198423127463863,0.00013140604467805518,6.570302233902759e-05,0.3778580814717477,0.0009855453350854138,6.570302233902759e-05,3044.0,0.4,0.6086956521739131,951.25,0
1011812,6.0,372935.0,30.0,124311.66666666667,0.0,203.0,520.0,463.0,10.0,67.66666666666667,0.0,173.33333333333334,0.0,0.0005443307815034791,0.0,1.0725729684797619e-05,0.0,0.0013943448590236906,2.6814324211994048e-05,62155.833333333336,77.16666666666667,6.766666666666667,0.0,1
1011815,6.0,22097.0,50.0,5524.25,0.0,28.0,19.0,6.0,6.0,7.0,0.0,4.75,326.0,0.001267140335792189,4.525501199257818e-05,0.00031678508394804723,0.014753133909580485,0.0008598452278589854,0.00027153007195546906,3682.8333333333335,1.0,0.56,11048.5,0
1012110,8.0,173394.0,50.0,57798.0,0.0,101.0,33.0,26.0,7.0,33.666666666666664,0.0,11.0,0.0,0.0005824884367394489,0.0,0.00010380982040901069,0.0,0.00019031800408318627,4.037048571461527e-05,21674.25,3.25,2.02,0.0,0
1012174,8.0,13068.0,3.0,1866.857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6291.0,0.0,0.0,0.0,0.48140495867768596,0.0,0.0,1633.5,0.0,0.0,13068.0,0
1012450,11.0,48350.0,42.0,9670.0,0.0,38.0,54.0,28.0,13.0,7.6,0.0,10.8,847.0,0.0007859358841778697,2.0682523267838676e-05,0.0006204756980351603,0.017518097207859358,0.0011168562564632886,0.0002688728024819028,4395.454545454545,2.5454545454545454,0.9047619047619048,6043.75,0
1012589,88.0,277647.0,50.0,27764.7,0.0,535.0,473.0,183.0,82.0,53.5,0.5,47.3,36683.0,0.0019269071879040652,0.0006555086134552148,0.0003349576980842581,0.13212100256800902,0.0017036020558478932,0.0002953390456226792,3155.0795454545455,2.0795454545454546,10.7,1431.1701030927834,0
1012591,2.0,14409.0,50.0,7204.5,0.0,8.0,15.0,8.0,1.0,4.0,0.0,7.5,5733.0,0.0005552085502116733,0.00027760427510583664,6.940106877645916e-05,0.39787632729544037,0.0010410160316468874,6.940106877645916e-05,7204.5,4.0,0.16,0.0,0
1012899,4.0,17227.0,38.0,17227.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.00046438729900737216,0.0008126777732629012,4306.75,0.0,0.0,0.0,0
1013065,13.0,154378.0,35.0,38594.5,0.0,959.0,40.0,21.0,6.0,239.75,0.0,10.0,0.0,0.006212025029473112,4.534324839031468e-05,0.00014898495899674823,0.0,0.0002591042765160839,3.8865641477412585e-05,11875.23076923077,1.6153846153846154,27.4,25729.666666666668,1
1013211,33.0,9937.0,1.0,1242.125,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028177518365703935,301.1212121212121,0.0,0.0,0.0,0
1013442,56.0,269242.0,45.0,29915.777777777777,0.0,158.0,254.0,68.0,66.0,17.555555555555557,0.0,28.22222222222222,67875.0,0.0005868326635517489,8.913913876735427e-05,0.00022656197770035878,0.2520966268264238,0.0009433892186211661,0.00024513263161022426,4807.892857142857,1.2142857142857142,3.511111111111111,1682.7625,0
1013515,35.0,106075.0,36.0,13259.375,0.0,42.0,121.0,28.0,62.0,5.25,0.0,15.125,44139.0,0.0003959462644355409,0.0,0.0003205279283525807,0.41611124204572236,0.0011407023332547725,0.0005844921046429413,3030.714285714286,0.8,1.1666666666666667,26518.75,0
1013980,28.0,222679.0,50.0,22267.9,0.0,172.0,288.0,128.0,38.0,17.2,0.0,28.8,12136.0,0.000772412306503981,0.0006736153835790533,0.00034578923023724734,0.05449997530076927,0.0012933415364717823,0.0001706492305066935,7952.821428571428,4.571428571428571,3.44,3906.6491228070176,0
1014006,27.0,124916.0,50.0,31229.0,0.0,72.0,236.0,81.0,165.0,18.0,0.25,59.0,7904.0,0.0005763873322872971,0.0008165487207403375,0.0002961990457587499,0.06327452047776105,0.0018892695891639182,0.0013208876364917224,4626.518518518518,3.0,1.44,1711.1780821917807,0
1014388,19.0,183847.0,38.0,30641.166666666668,0.0,264.0,200.0,46.0,115.0,44.0,0.0,33.333333333333336,36854.0,0.0014359766545007533,5.983236060419806e-05,0.0002719652754736275,0.20046016524610138,0.00108786110189451,0.0006255201335893433,9676.157894736842,2.4210526315789473,6.947368421052632,30641.166666666668,0
1014562,9.0,25144.0,50.0,8381.333333333334,0.0,5.0,28.0,3.0,3.0,1.6666666666666667,0.0,9.333333333333334,11622.0,0.00019885459751829463,0.0,0.0001590836780146357,0.46221762647152403,0.0011135857461024498,0.00011931275851097678,2793.777777777778,0.3333333333333333,0.1,558.7555555555556,0
1014977,51.0,253632.0,23.0,25363.2,0.0,0.0,2.0,0.0,224.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,7.885440322987636e-06,0.0008831693161746152,4973.176470588235,0.0,0.0,0.0,0
1015176,18.0,160559.0,50.0,17839.88888888889,0.0,185.0,207.0,66.0,57.0,20.555555555555557,0.1111111111111111,23.0,19201.0,0.001152224415946786,0.0004048356056029248,0.00021176016293076064,0.11958843789510398,0.0012892456978431605,0.00035500968491333404,8919.944444444445,3.6666666666666665,3.7,5179.322580645161,0
1015196,9.0,11667.0,50.0,11667.0,0.0,3.0,9.0,1.0,8.0,3.0,0.0,9.0,0.0,0.00025713551041398817,8.571183680466272e-05,0.0,0.0,0.0007714065312419646,0.0006856946944373018,1296.3333333333333,0.1111111111111111,0.06,11667.0,0
1015207,88.0,149297.0,50.0,14929.7,0.0,68.0,104.0,16.0,33.0,6.8,0.0,10.4,7469.0,0.0004554679598384428,0.00021433786345338487,2.009417469875483e-05,0.05002779694166661,0.0006965980562235008,0.00022103592168630314,1696.5568181818182,0.18181818181818182,1.36,9953.133333333333,0
1015237,6.0,13731.0,50.0,6865.5,0.0,13.0,12.0,0.0,44.0,6.5,0.0,6.0,0.0,0.0009467627995047702,0.0,0.0,0.0,0.0008739348918505571,0.003204427936785376,2288.5,0.0,0.26,21.9696,0
1015244,7.0,44001.0,50.0,11000.25,0.0,85.0,76.0,35.0,24.0,21.25,0.0,19.0,0.0,0.0019317742778573214,0.0011136110542942206,4.5453512420172266e-05,0.0,0.0017272334719665463,0.0005454421490420672,6285.857142857143,5.0,1.7,6285.857142857143,0
1015309,14.0,61857.0,25.0,12371.4,0.0,72.0,54.0,22.0,9.0,14.4,0.0,10.8,0.0,0.0011639749745380474,3.233263818161243e-05,0.0003394927009069305,0.0,0.0008729812309035355,0.00014549687181725592,4418.357142857143,1.5714285714285714,2.88,1718.25,0
1015400,3.0,16531.0,50.0,5510.333333333333,0.0,10.0,21.0,2.0,11.0,3.3333333333333335,0.0,7.0,0.0,0.0006049240820277055,6.049240820277055e-05,6.049240820277055e-05,0.0,0.0012703405722581816,0.0006654164902304761,5510.333333333333,0.6666666666666666,0.2,8265.5,0
1015562,3.0,12649.0,27.0,12649.0,0.0,1.0,11.0,4.0,1.0,1.0,0.0,11.0,0.0,7.905763301446754e-05,0.0,0.0003162305320578702,0.0,0.000869633963159143,7.905763301446754e-05,4216.333333333333,1.3333333333333333,0.037037037037037035,436.17241379310343,0
1015650,10.0,185621.0,35.0,46405.25,0.0,106.0,98.0,16.0,45.0,26.5,0.0,24.5,1938.0,0.0005710560766292607,5.387321477634535e-06,9.15844651197871e-05,0.010440629023655728,0.0005279575048081844,0.00024242946649355408,18562.1,1.6,3.0285714285714285,343.7425925925926,1
